iter	Logloss
0	0.4629533973
1	0.308350909
2	0.2130519338
3	0.1425215841
4	0.1073614992
5	0.08120852721
6	0.05699464722
7	0.04543369613
8	0.03445973332
9	0.02582885232
10	0.02290891302
11	0.02010133589
12	0.01710335731
13	0.01488531128
14	0.01335142073
15	0.01208355902
16	0.009891218809
17	0.008997633584
18	0.007866085533
19	0.006909423553
20	0.006129588005
21	0.005800693488
22	0.005501229634
23	0.005106510556
24	0.004821455093
25	0.004580689837
26	0.004169368941
27	0.003824008536
28	0.00352053919
29	0.003361028784
30	0.003262583626
31	0.003160173504
32	0.002983362602
33	0.00278721254
34	0.002719907384
35	0.002466572099
36	0.002354628751
37	0.002301195786
38	0.002233742872
39	0.002171769992
40	0.002057848646
41	0.001980460902
42	0.001918416484
43	0.001868868733
44	0.00181701226
45	0.001734766741
46	0.001660783866
47	0.001620261387
48	0.001567833917
49	0.001519258957
50	0.001481675928
51	0.001426364506
52	0.001393578486
53	0.001374895214
54	0.001328801885
55	0.001283548621
56	0.00126610924
57	0.001223014609
58	0.001183791789
59	0.001155881575
60	0.001126055179
61	0.001107198474
62	0.001094343963
63	0.001079721711
64	0.001067591661
65	0.001053265626
66	0.001038594074
67	0.001009189244
68	0.0009813854632
69	0.0009721670866
70	0.000953422824
71	0.000943737552
72	0.0009299148771
73	0.0009176411626
74	0.0009003796023
75	0.0008831769265
76	0.0008662078536
77	0.0008521193878
78	0.0008427647306
79	0.0008338548253
80	0.0008234275666
81	0.0008182116985
82	0.0008108058702
83	0.0007929129762
84	0.0007870512577
85	0.0007814054147
86	0.0007814054147
87	0.0007747973506
88	0.0007730653313
89	0.000766057502
90	0.0007609958267
91	0.0007535662279
92	0.0007484071486
93	0.0007479706062
94	0.0007433136739
95	0.0007386575658
96	0.000733659301
97	0.0007297330215
98	0.0007258324439
99	0.0007216388553
100	0.000715273045
101	0.0007098508047
102	0.0007048998319
103	0.0007010635257
104	0.000701055937
105	0.0007010423949
106	0.0006967747899
107	0.0006910830141
108	0.0006877117458
109	0.0006838752833
110	0.0006837768042
111	0.0006837719525
112	0.0006837645404
113	0.0006837486872
114	0.0006836610354
115	0.0006836464252
116	0.0006816744573
117	0.0006785590304
118	0.000678556646
119	0.0006735846919
120	0.0006735060364
121	0.000669797724
122	0.0006695010995
123	0.0006694870373
124	0.000665834811
125	0.0006658073857
126	0.00066227502
127	0.0006622682385
128	0.0006610918414
129	0.0006601152213
130	0.0006590183604
131	0.0006567963787
132	0.0006552206883
133	0.0006551992307
134	0.0006535890265
135	0.0006535363507
136	0.0006534740243
137	0.0006518796404
138	0.0006518646448
139	0.0006507287856
140	0.0006507182179
141	0.0006507076505
142	0.0006506136757
143	0.0006506004875
144	0.0006505259914
145	0.0006504961289
146	0.0006504829456
147	0.0006483310629
148	0.0006483292202
149	0.0006483255516
150	0.000648321883
151	0.0006483145459
152	0.0006483014528
153	0.0006465181893
154	0.0006461659817
155	0.0006461643574
156	0.0006428752389
157	0.0006428613828
158	0.0006428577663
159	0.0006427662755
160	0.0006427646866
161	0.0006426960825
162	0.0006426274978
163	0.000640023647
164	0.000638019168
165	0.0006380065035
166	0.0006379254842
167	0.0006347112972
168	0.0006343740538
169	0.0006343245592
170	0.0006342244838
171	0.0006341744578
172	0.0006321290579
173	0.0006320793689
174	0.0006320694311
175	0.0006320583883
176	0.0006320092714
177	0.0006319993363
178	0.0006319502313
179	0.0006319253977
180	0.000631915297
181	0.0006318662088
